descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,source_file
,Unknown,50000,Misamis Oriental,,MisamisOriental_SoilMap,SOIL,,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
MATINA CLAY,Unknown,50000,Misamis Oriental,MATINA CLAY,MisamisOriental_SoilMap,SOIL,206.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
JASOAN CLAY STONY PHASE,Unknown,50000,Misamis Oriental,JASOAN CLAY STONY PHASE,MisamisOriental_SoilMap,SOIL,319.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
MANBAJOA CLAY,Unknown,50000,Misamis Oriental,MANBAJOA CLAY,MisamisOriental_SoilMap,SOIL,316.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
FARAON CLAY,Unknown,50000,Misamis Oriental,FARAON CLAY,MisamisOriental_SoilMap,SOIL,132.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
UMINGAN LOAM,Unknown,50000,Misamis Oriental,UMINGAN LOAM,MisamisOriental_SoilMap,SOIL,322.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
HYDROSOL,Unknown,0,Misamis Oriental,HYDROSOL,,,1.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
KABATOHAN LOAM,,250000,Surigao Del Norte,KABATOHAN LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1002.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
DINAGAT CLAY LOAM,,250000,Surigao Del Norte,DINAGAT CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1020.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
BOLINAO CLAY STEEP PHASE,,250000,Surigao Del Norte,BOLINAO CLAY STEEP PHASE,SuriagoDelNorte_Soil_250thsnd_1,SOIL,154.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
BOLINAO CLAY,,250000,Surigao Del Norte,BOLINAO CLAY,SuriagoDelNorte_Soil_250thsnd_1,SOIL,153.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
,,250000,Surigao Del Norte,,SuriagoDelNorte_Soil_250thsnd_1,SOIL,,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
SISON CLAY LOAM,,250000,Surigao Del Norte,SISON CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1008.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
ROCK LAND,,250000,Surigao Del Norte,ROCK LAND,SuriagoDelNorte_Soil_250thsnd_1,SOIL,599.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
MALIMONO CLAY LOAM,,250000,Surigao Del Norte,MALIMONO CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1009.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
MOUNTAIN SOILS,,250000,Surigao Del Norte,MOUNTAIN SOILS,SuriagoDelNorte_Soil_250thsnd_1,SOIL,45.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
JAMOYAON CLAY LOAM,,250000,Surigao Del Norte,JAMOYAON CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1011.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
MALALAG SILT LOAM,,250000,Surigao Del Norte,MALALAG SILT LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,359.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
SAN MANUEL SANDY CLAY LOAM,,250000,Surigao Del Norte,SAN MANUEL SANDY CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,596.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
KITCHAROA CLAY LOAM,,250000,Surigao Del Norte,KITCHAROA CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,365.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
ANAO-OAN SILTY CLAY,,250000,Surigao Del Norte,ANAO-OAN SILTY CLAY,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1012.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
SURIGAO CLAY LOAM,,250000,Surigao Del Norte,SURIGAO CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1010.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
BAD-AS CLAY LOAM,,250000,Surigao Del Norte,BAD-AS CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1019.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
HYDROSOL,,250000,Surigao Del Norte,HYDROSOL,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
NASA-AN CLAY LOAM,,250000,Surigao Del Norte,NASA-AN CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,318.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
SAPA CLAY LOAM,,250000,Surigao Del Norte,SAPA CLAY LOAM,SuriagoDelNorte_Soil_250thsnd_1,SOIL,1013.0,0,0,KODA_Datasets - Surigao Del Norte Soil Data.csv
BOLINAO CLAY LOAM,1968,250000,Surigao Del Sur,BOLINAO CLAY LOAM,Surigao_DelSur_Soil_250thsnd_1,SOIL,108.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
