mag,longitude,latitude,depth,log_soil_polygon_hectares,month_sin,month_cos,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day,tsunami,magtype,aez,soil_series_grouped,soil_desc_grouped,depth_category
6.29,124.074,7.826,15.0,9.505214377898657,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683,0.0,1.0,11,0,mw,Uplands,Adtuyon,Other,Shallow
5.97,120.358,15.68,15.0,11.312443598120721,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,10,0,mw,Uplands,Other,Other,Shallow
5.57,125.168,12.183,35.0,15.784614769658228,-0.8660254037844385,-0.5000000000000004,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,5,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.56,122.293,16.79,35.0,15.784614769658228,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,14,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.84,125.987,8.668,35.0,11.11877118404501,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,19,0,mw,Uplands,Kidapawan,Other,Shallow
5.93,120.641,13.302,25.0,11.99528590682127,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,15,0,mw,Lowlands,San Manuel,Other,Shallow
5.89,122.553,9.811,25.0,14.498784339188246,-0.4999999999999997,-0.8660254037844388,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,13,0,mw,Highlands,Rough mountain land,Rough mountain land,Shallow
5.84,125.677,8.925,35.0,12.098146706162929,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,24,0,mw,Highlands,Camansa,Camansa clay,Shallow
5.91,119.768,16.172,44.9,11.183046067260138,-2.4492935982947064e-16,1.0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,21,0,mw,Uplands,Other,Other,Shallow
5.55,125.778,7.01,70.7,12.826394179590693,-0.5000000000000004,0.8660254037844384,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,5,0,mw,Uplands,Bolinao,Bolinao clay,Intermediate
5.76,123.93,12.728,15.0,10.334098221961478,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,2,0,mw,Highlands,Other,Other,Shallow
5.85,126.25,7.034,30.0,15.784614769658228,1.2246467991473532e-16,-1.0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,24,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.97,123.811,7.74,570.0,10.36286077660641,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,16,0,mw,Uplands,Other,Other,Deep
5.73,124.247,7.56,24.6,11.308935818157943,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,20,0,mw,Uplands,Other,Other,Shallow
6.02,126.522,7.156,160.0,12.063087094829552,-1.0,-1.8369701987210297e-16,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,16,0,mw,Lowlands,San Manuel,San Manuel silty clay loam,Intermediate
5.7,125.941,8.571,200.0,11.11877118404501,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,7,0,mw,Uplands,Kidapawan,Other,Intermediate
5.67,121.886,17.241,35.0,10.35923739639769,-0.8660254037844386,0.5000000000000001,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,18,0,mw,Lowlands,Other,Other,Shallow
5.48,126.172,6.817,35.6,12.804010321873838,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.433883739117558,-0.9009688679024191,12,0,mw,Uplands,Malalag,Malalag loam,Shallow
5.81,126.317,8.103,84.8,12.098146706162929,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,27,0,mw,Highlands,Camansa,Camansa clay,Intermediate
5.51,125.393,11.486,50.2,12.826394179590693,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,31,0,mw,Uplands,Bolinao,Bolinao clay,Shallow
7.6,122.067,16.316,25.0,11.401184197400257,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,2,0,mw,Highlands,Antipolo,Other,Shallow
6.41,122.23,16.475,25.0,9.218459198242352,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,3,0,mw,Lowlands,Other,Other,Shallow
5.52,126.229,8.919,56.6,11.68946593124052,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,16,0,mw,Uplands,Matho,Matho clay,Shallow
5.53,125.483,11.223,48.0,11.804012218310172,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,21,0,mw,Highlands,Luisiana,Luisiana clay,Shallow
5.74,125.36,6.031,92.8,15.784614769658228,-1.0,-1.8369701987210297e-16,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,19,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Intermediate
5.53,126.057,7.73,45.7,13.279016894248912,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,19,0,mw,Highlands,Camansa,Camasan sandy clay loam,Shallow
5.77,126.286,8.187,97.2,12.884008925230377,-2.4492935982947064e-16,1.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,3,0,mw,Lowlands,Hydrosol,Hydrosol,Intermediate
5.5,120.399,13.522,50.2,14.498784339188246,1.0,6.123233995736766e-17,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,4,0,mw,Highlands,Rough mountain land,Rough mountain land,Shallow
5.77,124.592,12.233,106.5,11.737575588450452,0.49999999999999994,-0.8660254037844387,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,30,0,mw,Lowlands,Quingua,Other,Intermediate
5.91,120.486,18.051,45.0,8.712181179913369,-0.8660254037844385,-0.5000000000000004,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,26,0,mw,Lowlands,Other,Other,Shallow
5.64,120.792,18.333,32.5,10.924099084835902,-0.5000000000000004,0.8660254037844384,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,3,0,mw,Highlands,Cervantes,Other,Shallow
5.63,120.837,18.477,32.5,15.784614769658228,-0.5000000000000004,0.8660254037844384,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,8,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.55,123.863,12.081,13.5,12.020851944951168,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,13,0,mw,Uplands,Other,Other,Shallow
5.68,125.646,8.981,15.0,10.55080659112044,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,31,0,mw,Uplands,Malalag,Other,Shallow
5.74,125.657,8.9,15.0,12.098146706162929,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,31,0,mw,Highlands,Camansa,Camansa clay,Shallow
5.53,125.597,9.022,15.0,11.164822038711838,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2,0,mw,Lowlands,Other,Other,Shallow
5.5,120.679,18.061,30.0,9.26239015157463,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,29,0,mw,Lowlands,Other,Other,Shallow
5.79,120.169,15.314,15.0,15.784614769658228,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,20,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.92,122.189,16.552,35.0,15.784614769658228,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.0,1.0,22,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.65,122.353,16.663,15.0,15.784614769658228,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.0,1.0,22,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
4.8,120.832,13.466,139.0,14.498784339188246,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,3,0,mb,Highlands,Rough mountain land,Rough mountain land,Intermediate
4.5,120.158,14.994,67.0,11.544581725395997,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,4,0,mb,Lowlands,Angeles,Angeles sand,Shallow
5.3,126.151,6.983,51.0,12.804010321873838,0.49999999999999994,0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,9,0,mb,Uplands,Malalag,Malalag loam,Shallow
